# f (Hz)	sigma(f)	PI(f)
2.790625e+01	6.659931e-07	3.401208e-08
2.793750e+01	6.375411e-07	3.386015e-08
2.796875e+01	6.353959e-07	3.370908e-08
2.800000e+01	1.980623e-06	3.355884e-08
2.803125e+01	6.456380e-07	3.341045e-08
2.806250e+01	6.412650e-07	3.327423e-08
2.809375e+01	6.445318e-07	3.313872e-08
2.812500e+01	6.461293e-07	3.300391e-08
2.815625e+01	6.464140e-07	3.286980e-08
2.818750e+01	7.306833e-07	3.273638e-08
2.821875e+01	7.984784e-07	3.260365e-08
2.825000e+01	6.816244e-07	3.247160e-08
2.828125e+01	6.073754e-07	3.234023e-08
2.831250e+01	6.037246e-07	3.220954e-08
2.834375e+01	6.326857e-07	3.207952e-08
2.837500e+01	6.297742e-07	3.195017e-08
2.840625e+01	6.070960e-07	3.182148e-08
2.843750e+01	6.193852e-07	3.169345e-08
2.846875e+01	6.512645e-07	3.156607e-08
2.850000e+01	6.373228e-07	3.143935e-08
2.853125e+01	5.856021e-07	3.131327e-08
2.856250e+01	5.860460e-07	3.118784e-08
2.859375e+01	7.074322e-07	3.106304e-08
2.862500e+01	7.310076e-07	3.093888e-08
2.865625e+01	6.231361e-07	3.081910e-08
2.868750e+01	5.827070e-07	3.070734e-08
2.871875e+01	5.781454e-07	3.059610e-08
2.875000e+01	5.804374e-07	3.048538e-08
2.878125e+01	5.755045e-07	3.037519e-08
2.881250e+01	5.724445e-07	3.026551e-08
2.884375e+01	5.723850e-07	3.015635e-08
2.887500e+01	5.702743e-07	3.004770e-08
2.890625e+01	5.689474e-07	2.993955e-08
2.893750e+01	5.699964e-07	2.983191e-08
2.896875e+01	5.725623e-07	2.972478e-08
2.900000e+01	1.656644e-06	2.961814e-08
2.903125e+01	5.763454e-07	2.951200e-08
2.906250e+01	5.751428e-07	2.940636e-08
2.909375e+01	5.766269e-07	2.930120e-08
2.912500e+01	5.876640e-07	2.919654e-08
2.915625e+01	6.045674e-07	2.909236e-08
2.918750e+01	6.236688e-07	2.898866e-08
2.921875e+01	6.189588e-07	2.888544e-08
2.925000e+01	6.143800e-07	2.878270e-08
2.928125e+01	5.895469e-07	2.868044e-08
2.931250e+01	5.807715e-07	2.858767e-08
2.934375e+01	5.801161e-07	2.849644e-08
2.937500e+01	5.822765e-07	2.840559e-08
2.940625e+01	5.840024e-07	2.831512e-08
2.943750e+01	5.818798e-07	2.822504e-08
2.946875e+01	5.888547e-07	2.813535e-08
2.950000e+01	6.311818e-07	2.804603e-08
2.953125e+01	6.032608e-07	2.795709e-08
2.956250e+01	5.924032e-07	2.786852e-08
2.959375e+01	6.126732e-07	2.778033e-08
2.962500e+01	6.413427e-07	2.769251e-08
2.965625e+01	6.282230e-07	2.760506e-08
2.968750e+01	6.112218e-07	2.751798e-08
2.971875e+01	6.036887e-07	2.743126e-08
2.975000e+01	5.957842e-07	2.734491e-08
2.978125e+01	6.100809e-07	2.725892e-08
2.981250e+01	6.303280e-07	2.717329e-08
2.984375e+01	6.525096e-07	2.708802e-08
2.987500e+01	6.770038e-07	2.700310e-08
2.990625e+01	6.344754e-07	2.691854e-08
2.993750e+01	6.018932e-07	2.683433e-08
2.996875e+01	6.224358e-07	2.675791e-08
3.000000e+01	inf	2.668364e-08
3.003125e+01	6.058154e-07	2.660966e-08
3.006250e+01	5.753263e-07	2.653597e-08
3.009375e+01	5.686074e-07	2.646255e-08
3.012500e+01	5.620723e-07	2.638941e-08
3.015625e+01	5.564079e-07	2.631655e-08
3.018750e+01	5.523898e-07	2.624396e-08
3.021875e+01	5.632819e-07	2.617165e-08
3.025000e+01	5.820055e-07	2.609962e-08
3.028125e+01	5.558635e-07	2.602785e-08
3.031250e+01	5.412319e-07	2.595636e-08
3.034375e+01	5.390861e-07	2.588514e-08
3.037500e+01	5.353437e-07	2.581418e-08
3.040625e+01	5.311135e-07	2.574350e-08
3.043750e+01	5.279313e-07	2.567307e-08
3.046875e+01	5.343346e-07	2.560292e-08
3.050000e+01	5.764399e-07	2.553302e-08
3.053125e+01	5.454868e-07	2.546339e-08
3.056250e+01	5.383266e-07	2.539402e-08
3.059375e+01	5.579368e-07	2.532491e-08
3.062500e+01	5.698398e-07	2.525688e-08
3.065625e+01	5.398844e-07	2.519685e-08
3.068750e+01	5.329313e-07	2.513702e-08
3.071875e+01	5.361264e-07	2.507739e-08
3.075000e+01	5.409898e-07	2.501797e-08
3.078125e+01	5.483968e-07	2.495874e-08
3.081250e+01	5.587877e-07	2.489972e-08
3.084375e+01	5.666282e-07	2.484090e-08
3.087500e+01	5.772664e-07	2.478227e-08
3.090625e+01	5.930491e-07	2.472384e-08
3.093750e+01	6.066405e-07	2.466561e-08
3.096875e+01	6.205630e-07	2.460757e-08
3.100000e+01	1.538158e-06	2.454973e-08
3.103125e+01	6.383296e-07	2.449208e-08
3.106250e+01	6.294580e-07	2.443463e-08
3.109375e+01	6.208674e-07	2.437736e-08
3.112500e+01	6.221203e-07	2.432029e-08
3.115625e+01	6.034001e-07	2.426341e-08
3.118750e+01	5.688754e-07	2.420672e-08
3.121875e+01	5.450770e-07	2.415022e-08
3.125000e+01	5.441074e-07	2.409391e-08
3.128125e+01	5.205856e-07	2.403778e-08
3.131250e+01	5.065124e-07	2.398185e-08
3.134375e+01	5.048556e-07	2.393225e-08
3.137500e+01	5.169089e-07	2.388460e-08
3.140625e+01	5.943632e-07	2.383710e-08
3.143750e+01	inf	2.378973e-08
3.146875e+01	4.956361e-07	2.374250e-08
3.150000e+01	5.125821e-07	2.369542e-08
3.153125e+01	4.912984e-07	2.364847e-08
3.156250e+01	4.948960e-07	2.360167e-08
3.159375e+01	5.178463e-07	2.355500e-08
3.162500e+01	5.143058e-07	2.350847e-08
3.165625e+01	4.810040e-07	2.346208e-08
3.168750e+01	4.695279e-07	2.341583e-08
3.171875e+01	4.661340e-07	2.336971e-08
3.175000e+01	4.776481e-07	2.332373e-08
3.178125e+01	4.716519e-07	2.327789e-08
3.181250e+01	4.557344e-07	2.323218e-08
3.184375e+01	4.518022e-07	2.318660e-08
3.187500e+01	4.475205e-07	2.314116e-08
3.190625e+01	4.449853e-07	2.309585e-08
3.193750e+01	4.419821e-07	2.305068e-08
3.196875e+01	4.446104e-07	2.300563e-08
3.200000e+01	inf	2.296072e-08
3.203125e+01	4.410542e-07	2.291594e-08
3.206250e+01	4.328924e-07	2.287709e-08
3.209375e+01	4.309474e-07	2.283997e-08
3.212500e+01	4.308677e-07	2.280296e-08
3.215625e+01	4.290831e-07	2.276603e-08
3.218750e+01	4.278283e-07	2.272921e-08
3.221875e+01	4.358185e-07	2.269248e-08
3.225000e+01	4.501689e-07	2.265584e-08
3.228125e+01	4.354217e-07	2.261930e-08
3.231250e+01	4.248120e-07	2.258285e-08
3.234375e+01	4.185632e-07	2.254650e-08
3.237500e+01	4.174131e-07	2.251024e-08
3.240625e+01	4.180317e-07	2.247407e-08
3.243750e+01	4.170807e-07	2.243800e-08
3.246875e+01	4.220900e-07	2.240202e-08
3.250000e+01	4.450944e-07	2.236613e-08
3.253125e+01	4.257861e-07	2.233033e-08
3.256250e+01	4.359994e-07	2.229462e-08
3.259375e+01	4.584049e-07	2.225901e-08
3.262500e+01	4.342921e-07	2.222349e-08
3.265625e+01	4.198216e-07	2.218805e-08
3.268750e+01	4.423917e-07	2.215271e-08
3.271875e+01	4.677544e-07	2.211746e-08
3.275000e+01	4.400983e-07	2.208229e-08
3.278125e+01	4.164003e-07	2.204722e-08
3.281250e+01	4.125365e-07	2.201915e-08
3.284375e+01	4.094283e-07	2.199122e-08
3.287500e+01	4.081864e-07	2.196335e-08
3.290625e+01	4.081957e-07	2.193554e-08
3.293750e+01	4.098437e-07	2.190780e-08
3.296875e+01	4.146111e-07	2.188012e-08
3.300000e+01	1.261886e-06	2.185249e-08
3.303125e+01	4.259235e-07	2.182493e-08
3.306250e+01	4.409940e-07	2.179743e-08
3.309375e+01	4.541931e-07	2.176999e-08
3.312500e+01	4.435991e-07	2.174261e-08
3.315625e+01	4.242414e-07	2.171529e-08
3.318750e+01	4.185053e-07	2.168804e-08
3.321875e+01	4.246551e-07	2.166084e-08
3.325000e+01	4.382153e-07	2.163370e-08
3.328125e+01	4.229731e-07	2.160662e-08
3.331250e+01	5.097826e-07	2.157959e-08
